size, clock: 
1000,7e-06
2000,9e-06
3000,1.4e-05
4000,1.7e-05
5000,2.2e-05
6000,2.5e-05
7000,3e-05
8000,3.2e-05
9000,3.6e-05
10000,4e-05
11000,4.6e-05
12000,5e-05
13000,5.1e-05
14000,5.7e-05
15000,6.2e-05
16000,6.8e-05
17000,6.9e-05
18000,7.1e-05
19000,7.8e-05
20000,8.1e-05
21000,8.6e-05
22000,8.7e-05
23000,9e-05
24000,9.1e-05
25000,9.5e-05
26000,9.9e-05
27000,0.0001
28000,0.000103
29000,0.000103
30000,0.000108
31000,0.000111
32000,0.000113
33000,0.000118
34000,0.000118
35000,0.000122
36000,0.000125
37000,0.000128
38000,0.000138
39000,0.000135
40000,0.000138
41000,0.000139
42000,0.000133
43000,0.00013
44000,0.000143
45000,0.00013
46000,0.000133
47000,0.000134
48000,0.000139
49000,0.000141
50000,0.000144
51000,0.000146
52000,0.000149
53000,0.000152
54000,0.000154
55000,0.000158
56000,0.000162
57000,0.000165
58000,0.000167
59000,0.000169
60000,0.000173
61000,0.000176
62000,0.000179
63000,0.000181
64000,0.000184
65000,0.000172
66000,0.00019
67000,0.000193
68000,0.000196
69000,0.000199
70000,0.000201
71000,0.000204
72000,0.000206
73000,0.000211
74000,0.000213
75000,0.000216
76000,0.000219
77000,0.00022
78000,0.000224
79000,0.000228
80000,0.000229
81000,0.000233
82000,0.000236
83000,0.000238
84000,0.000242
85000,0.000224
86000,0.000246
87000,0.00025
88000,0.000253
89000,0.000255
90000,0.000259
91000,0.000262
92000,0.000249
93000,0.000268
94000,0.000271
95000,0.000274
96000,0.000253
97000,0.000279
98000,0.000283
99000,0.000283
100000,0.000288
